family_id, family_name
143,Malapteruridae
432,Mastacembelidae
519,Megachasmidae
47,Megalopidae
233,Melamphaidae
196,Melanocetidae
181,Melanonidae
564,Melanotaeniidae
317,Menidae
184,Merlucciidae
410,Microdesmidae
521,Microstomatidae
555,Mitsukurinidae
719,Mobulidae
144,Mochokidae
450,Molidae
517,Monacanthidae
241,Monocentridae
333,Monodactylidae
70,Monognathidae
680,Mordaciidae
180,Moridae
51,Moringuidae
40,Mormyridae
487,Moronidae
359,Mugilidae
332,Mullidae
504,Muraenesocidae
56,Muraenidae
179,Muraenolepididae
167,Myctophidae
22,Myliobatidae
55,Myrocongridae
2,Myxinidae
346,Nandidae
503,Narcinidae
672,Narkidae
692,Nemacheilidae
478,Nematistiidae
613,Nematogenyidae
52,Nemichthyidae
324,Nemipteridae
201,Neoceratiidae
27,Neoceratodontidae
739,Neocyematidae
168,Neoscopelidae
575,Neosebastidae
768,Neozoarcidae
64,Nettastomatidae
422,Nomeidae
280,Normanichthyidae
73,Notacanthidae
642,Nothobranchiidae
566,Notocheiridae
37,Notopteridae
470,Notosudidae
382,Nototheniidae
363,Odacidae
8,Odontaspididae
549,Odontobutidae
194,Ogcocephalidae
142,Olyridae
170,Omosudidae
730,Oncopteridae
199,Oneirodidae
66,Ophichthidae
186,Ophidiidae
747,Opisthocentridae
85,Opisthoproctidae
366,Opistognathidae
347,Oplegnathidae
7,Orectolobidae
250,Oreosomatidae
80,Osmeridae
429,Osphronemidae
38,Osteoglossidae
446,Ostraciidae
543,Ostracoberycidae
659,Oxynotidae
134,Pangasiidae
731,Pantanodontidae
39,Pantodontidae
590,Parabembridae
561,Parabrotulidae
169,Paralepididae
678,Paralichthodidae
514,Paralichthyidae
534,Parascorpididae
496,Parascylliidae
614,Paraulopidae
247,Parazenidae
603,Parodontidae
269,Pataecidae
286,Pegasidae
334,Pempheridae
345,Pentacerotidae
703,Pentanchidae
288,Percichthyidae
306,Percidae
605,Perciliidae
370,Percophidae
176,Percopsidae
581,Peristediidae
701,Perryenidae
1,Petromyzontidae
221,Phallostethidae
395,Pholidae
481,Pholidichthyidae
468,Phosichthyidae
100,Phractolaemidae
722,Phreatobiidae
506,Phycidae
150,Pimelodidae
371,Pinguipedidae
273,Platycephalidae
710,Platyrhinidae
87,Platytroctidae
81,Plecoglossidae
579,Plectrogeniidae
542,Plesiobatidae
294,Plesiopidae
440,Pleuronectidae
149,Plotosidae
216,Poeciliidae
670,Poecilopsettidae
618,Polycentridae
238,Polymixiidae
361,Polynemidae
33,Polyodontidae
513,Polyprionidae
31,Polypteridae
460,Pomacanthidae
350,Pomacentridae
311,Pomatomidae
21,Potamotrygonidae
303,Priacanthidae
16,Pristidae
620,Pristigasteridae
14,Pristiophoridae
693,Pristolepididae
733,Procatopodidae
598,Prochilodontidae
569,Profundulidae
497,Proscylliidae
677,Protanguillidae
552,Protopteridae
437,Psettodidae
594,Pseudaphritidae
556,Pseudocarchariidae
291,Pseudochromidae
565,Pseudomugilidae
609,Pseudopimelodidae
498,Pseudotriakidae
471,Pseudotrichonotidae
124,Psilorhynchidae
282,Psychrolutidae
397,Ptilichthyidae
312,Rachycentridae
477,Radiicephalidae
19,Rajidae
226,Regalecidae
77,Retropinnidae
547,Rhamphichthyidae
583,Rhamphocottidae
6,Rhincodontidae
713,Rhinidae
17,Rhinobatidae
26,Rhinochimaeridae
718,Rhinopteridae
704,Rhombosoleidae
406,Rhyacichthyidae
601,Rivulidae
676,Rondeletiidae
68,Saccopharyngidae
82,Salangidae
76,Salmonidae
589,Samaridae
364,Scaridae
341,Scatophagidae
133,Schilbeidae
401,Schindleriidae
331,Sciaenidae
539,Scoloplacidae
208,Scomberesocidae
416,Scombridae
484,Scombrolabracidae
529,Scombropidae
174,Scopelarchidae
515,Scophthalmidae
264,Scorpaenidae
10,Scyliorhinidae
399,Scytalinidae
573,Sebastidae
698,Serpenticobitidae
289,Serranidae
686,Serrasalmidae
65,Serrivomeridae
574,Setarchidae
413,Siganidae
307,Sillaginidae
132,Siluridae
667,Sinipercidae
138,Sisoridae
441,Soleidae
257,Solenostomidae
658,Somniosidae
330,Sparidae
360,Sphyraenidae
12,Sphyrnidae
13,Squalidae
15,Squatinidae
494,Stegostomatidae
232,Stephanoberycidae
89,Sternoptychidae
548,Sternopygidae
393,Stichaeidae
91,Stomiidae
425,Stromateidae
227,Stylephoridae
665,Sudidae
526,Symphysanodontidae
578,Synanceiidae
57,Synaphobranchidae
262,Synbranchidae
258,Syngnathidae
160,Synodontidae
726,Tarumaniidae
567,Telmatherinidae
299,Terapontidae
535,Tetrabrachiidae
424,Tetragonuridae
448,Tetraodontidae
577,Tetrarogidae
681,Thalasseleotrididae
474,Thaumatichthyidae
18,Torpedinidae
337,Toxotidae
236,Trachichthyidae
377,Trachinidae
225,Trachipteridae
444,Triacanthidae
443,Triacanthodidae
488,Triakidae
415,Trichiuridae
365,Trichodontidae
155,Trichomycteridae
372,Trichonotidae
266,Triglidae
447,Triodontidae
688,Triportheidae
390,Tripterygiidae
712,Trygonorrhinidae
75,Umbridae
378,Uranoscopidae
500,Urolophidae
669,Urotrygonidae
691,Vaillantellidae
571,Valenciidae
223,Veliferidae
536,Xenisthmidae
417,Xiphiidae
520,Zanclidae
734,Zaniolepididae
716,Zanobatidae
398,Zaproridae
249,Zeidae
694,Zenarchopteridae
248,Zeniontidae
188,Zoarcidae
